ano_exibicao,distribuidora,origem_empresa,publico,publico_br,renda,renda_br,titulos_exibidos,titulos_exibidos_br,titulos_lancados,titulos_lancados_br
2009,Ab Filmes,Distribuição Nacional,33255,0,307288.57,0.0,1,0,1,0
2009,Business Telecom,Distribuição Nacional,546,546,2529.5,2529.5,1,1,1,1
2009,Califórnia,Distribuição Nacional,211136,547,1963949.76,2208.5,23,2,11,0
2009,Canal Brasil,Distribuição Nacional,15588,15588,141466.68,141466.68,1,1,1,1
2009,Caraminhola Produções Artísticas,Distribuição Nacional,182,182,886.0,886.0,1,1,1,1
2009,Casa Azul,Distribuição Nacional,230,230,975.38,975.38,2,2,2,2
2009,Cinegrama,Distribuição Nacional,907,907,4717.5,4717.5,1,1,1,1
2009,Cinerama Filmes,Distribuição Nacional,239,239,767.26,767.26,1,1,0,0
2009,Downtown,Distribuição Nacional,101244,101244,837920.74,837920.74,9,9,2,2
2009,Downtown/Riofilme,Distribuição Nacional,1935766,1935766,17137715.53,17137715.53,2,2,2,2
2009,Downtown/Videofilmes,Distribuição Nacional,4119,4119,25713.36,25713.36,1,1,1,1
2009,Espaço Filmes,Distribuição Nacional,7919,7919,57765.5,57765.5,2,2,2,2
2009,Espaço Itaú De Cinema,Distribuição Nacional,77579,0,1387050.0,0.0,2,0,2,0
2009,Europa,Distribuição Nacional,1929856,111553,17488949.17,778112.02,30,4,11,1
2009,Europa/Riofilme,Distribuição Nacional,35629,35629,304073.23,304073.23,1,1,1,1
2009,Filmes Da Mostra,Distribuição Nacional,116023,0,1030667.42,0.0,10,0,7,0
2009,Filmes Do Estação,Distribuição Nacional,164218,84204,1333743.11,632688.31,27,9,11,4
2009,Flashstar Filmes,Distribuição Nacional,65019,0,640518.6,0.0,2,0,1,0
2009,Fox,Distribuição Internacional,29942400,6215189,256396883.0,49659548.0,40,10,19,3
2009,G7 Cinema,Distribuição Nacional,59336,59336,516323.06,516323.06,2,2,2,2
2009,Gávea Filmes E Produções,Distribuição Nacional,2596,2596,16555.5,16555.5,1,1,1,1
2009,Imagem,Distribuição Nacional,6967868,2624229,59948695.0,22549721.18,44,6,31,4
2009,Imovision,Distribuição Nacional,545507,62023,4797885.37,522370.68,61,13,25,5
2009,Já Filmes,Distribuição Nacional,1680,1680,7456.5,7456.5,2,2,0,0
2009,Labovideo Produções Artísticas,Distribuição Nacional,706,706,3862.0,3862.0,1,1,0,0
2009,Miração Filmes,Distribuição Nacional,6026,6026,41827.75,41827.75,1,1,1,1
2009,Mirasul,Distribuição Nacional,104,104,1061.0,1061.0,1,1,1,1
2009,Moviemobz,Distribuição Nacional,234903,37775,2093227.77,319849.45,18,2,16,2
2009,Moviemobz/Riofilme,Distribuição Nacional,74780,74780,724055.76,724055.76,3,3,3,3
2009,O2 Cinema,Distribuição Nacional,591,591,3034.0,3034.0,1,1,1,1
2009,Panda Filmes,Distribuição Nacional,10158,6838,49893.23,26667.23,12,5,7,3
2009,Pandora Filmes,Distribuição Nacional,137245,13448,1143180.8,89541.84,40,11,10,4
2009,Paramount,Distribuição Internacional,8076514,42793,66189369.0,263675.0,17,3,10,1
2009,Paris,Distribuição Nacional,8147077,3238,66210010.61,14678.17,29,1,18,0
2009,Pequena Central,Distribuição Nacional,4532,4532,19171.5,19171.5,2,2,2,2
2009,Pipa Produções,Distribuição Nacional,5511,5511,22811.0,22811.0,6,6,3,3
2009,Playarte,Distribuição Nacional,5368159,284121,46419448.09,2073227.45,33,3,21,2
2009,Polifilmes,Distribuição Nacional,7847,7512,45320.54,44106.07,9,8,3,3
2009,Polifilmes/Topázio Filmes,Distribuição Nacional,625,625,5018.4,5018.4,1,1,1,1
2009,Portfolium Laboratório De Imagens,Distribuição Nacional,221,221,1863.0,1863.0,1,1,1,1
2009,Prana Filmes,Distribuição Nacional,2313,2313,23001.98,23001.98,1,1,1,1
2009,Raiz Distribuidora,Distribuição Nacional,318,318,954.0,954.0,1,1,0,0
2009,Rec Produtores,Distribuição Nacional,736,736,2616.0,2616.0,1,1,1,1
2009,República Pureza,Distribuição Nacional,3546,3546,31690.0,31690.0,1,1,1,1
2009,Riofilme,Distribuição Nacional,2971,2971,14113.77,14113.77,7,7,1,1
2009,Sereia Filmes,Distribuição Nacional,2650,2650,15022.15,15022.15,1,1,1,1
2009,Serendip,Distribuição Nacional,556,0,4305.0,0.0,1,0,0,0
2009,Serendip/Art Films,Distribuição Nacional,21603,21603,180751.02,180751.02,1,1,1,1
2009,Sony,Distribuição Internacional,28257224,1215036,247728888.7,8561300.45,68,15,37,2
2009,Sony/Downtown,Codistribuição Internacional-Nacional,316077,316077,2640159.02,2640159.02,1,1,1,1
2009,Superfilmes,Distribuição Nacional,6784,6784,98555.5,98555.5,1,1,1,1
2009,T.A.O. Produções Artisticas,Distribuição Nacional,609,609,3887.0,3887.0,1,1,1,1
2009,Universal,Distribuição Internacional,6517331,194577,58695713.0,1531976.0,25,5,19,3
2009,Usina Digital,Distribuição Nacional,2487,2487,13227.5,13227.5,3,3,0,0
