investimento_fsa,coproducao,fomento_indireto,publico_total,qtd_sessoes,dias_cartaz,renda_total,independente,cat_duracao,animacao,documentario,ficcao,variedades,videomusical
False,False,True,32324.0,1.0,1.0,218322.12,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,7958.0,5.0,5.0,76670.28,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,280.0,3.0,3.0,1476.0,True,LONGA METRAGEM,False,True,False,False,False
False,False,True,47413.0,1.0,1.0,203675.61,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,8009.0,2.0,2.0,59887.0,True,LONGA METRAGEM,False,True,False,False,False
False,False,True,26623.0,1.0,1.0,243332.2,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,2281.0,1.0,1.0,21229.39,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,353.0,1.0,1.0,1788.5,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,23017.0,15.0,15.0,86320.45,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,16125.0,14.0,14.0,143806.29,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,300560.0,2.0,2.0,2258009.0,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,37468.0,2.0,2.0,372802.28,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,67061.0,916.0,122.0,1001282.58,True,LONGA METRAGEM,False,False,True,False,False
True,False,True,160573.0,1.0,1.0,1365197.66,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,0.0,14.0,1.0,0.0,False,LONGA METRAGEM,False,True,False,False,False
False,False,False,841.0,1.0,1.0,5402.5,True,LONGA METRAGEM,False,False,True,False,False
False,True,True,52485.0,50.0,6.0,408151.34,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,195.0,75.0,36.0,3888.3,True,MÉDIA METRAGEM,False,True,False,False,False
False,False,False,0.0,1.0,1.0,0.0,True,MÉDIA METRAGEM,False,True,False,False,False
False,False,True,2005.0,260.0,92.0,17950.98,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,4085116.0,1900.0,15.0,36439883.32,True,LONGA METRAGEM,False,False,True,False,False
False,True,True,1953.0,1.0,1.0,16421.45,True,LONGA METRAGEM,False,True,False,False,False
False,False,True,8328.0,2.0,2.0,67637.0,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,301.0,42.0,28.0,3516.04,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,25495.0,1.0,1.0,179553.88,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,1897.0,1.0,1.0,16878.4,False,LONGA METRAGEM,False,True,False,False,False
False,False,False,37.0,6.0,6.0,917.24,True,MÉDIA METRAGEM,False,True,False,False,False
False,False,False,1262.0,1.0,1.0,11903.08,True,LONGA METRAGEM,False,True,False,False,False
False,False,True,8831.0,2.0,2.0,94502.95,True,LONGA METRAGEM,False,True,False,False,False
False,False,True,74901.0,3.0,3.0,863590.25,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,0.0,1.0,1.0,0.0,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,19079.0,2.0,2.0,173145.27,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,22437.0,2.0,2.0,229714.74,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,1026.0,37.0,34.0,9087.22,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,955.0,4.0,4.0,4160.5,True,LONGA METRAGEM,False,True,False,False,False
True,False,True,2177555.0,1.0,1.0,20039215.11,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,2068.0,21.0,21.0,17365.1,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,291.0,5.0,5.0,3233.0,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,1591.0,2.0,2.0,14828.67,False,LONGA METRAGEM,False,False,True,False,False
False,False,False,940.0,101.0,87.0,8993.86,False,LONGA METRAGEM,False,True,False,False,False
False,False,False,143.0,6.0,6.0,715.0,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,1.0,1.0,1.0,79.76,True,MÉDIA METRAGEM,False,False,True,False,False
False,False,False,183.0,25.0,21.0,1275.0,True,LONGA METRAGEM,False,True,False,False,False
False,False,True,499.0,48.0,34.0,4028.0,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,480.0,14.0,14.0,9571.2,False,CURTA METRAGEM,True,False,False,False,False
False,False,False,52.0,10.0,10.0,320.0,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,358.0,52.0,52.0,7138.52,True,MÉDIA METRAGEM,False,True,False,False,False
True,False,False,8824.0,6.0,6.0,81755.73,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,0.0,1.0,1.0,0.0,True,MÉDIA METRAGEM,False,False,True,False,False
False,False,False,1593.0,83.0,77.0,15288.0,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,13993.0,14.0,14.0,64698.13,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,264.0,43.0,36.0,2739.0,True,LONGA METRAGEM,False,True,False,False,False
False,False,True,11713.0,21.0,16.0,121369.63,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,320489.0,1.0,1.0,3092649.38,False,LONGA METRAGEM,False,False,True,False,False
True,False,True,1243219.0,54.0,17.0,11903878.18,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,1.0,1.0,1.0,19.94,True,MÉDIA METRAGEM,False,True,False,False,False
False,False,False,2810.0,8.0,8.0,24501.5,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,6969.0,2.0,2.0,69866.25,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,2616.0,58.0,58.0,21156.8,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,67904.0,2.0,2.0,537596.12,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,11081.0,8.0,8.0,92521.82,True,LONGA METRAGEM,False,True,False,False,False
False,True,True,8595.0,49.0,49.0,68288.87,True,LONGA METRAGEM,False,False,True,False,False
True,False,True,2499.0,137.0,21.0,34440.19,True,LONGA METRAGEM,False,False,True,False,False
True,False,False,6834.0,2.0,2.0,74994.64,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,4.0,1.0,1.0,79.76,True,LONGA METRAGEM,False,False,True,False,False
True,False,True,1977.0,21.0,21.0,22172.45,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,241.0,29.0,22.0,2946.55,True,LONGA METRAGEM,False,True,False,False,False
True,False,True,3417510.0,129.0,120.0,34712891.76,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,16603.0,7.0,7.0,134147.41,True,LONGA METRAGEM,True,False,False,False,False
False,False,False,487646.0,71.0,51.0,5058248.8,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,221.0,3.0,3.0,4406.740000000001,False,LONGA METRAGEM,False,True,False,False,False
False,False,False,970.0,4.0,4.0,8524.81,False,LONGA METRAGEM,False,False,True,False,False
True,False,True,592.0,16.0,16.0,7189.06,False,LONGA METRAGEM,False,False,True,False,False
False,False,True,4846317.0,10.0,10.0,50312354.36,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,3269.0,8.0,8.0,24453.5,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,370842.0,1.0,1.0,3880872.74,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,58775.0,77.0,77.0,702215.83,True,LONGA METRAGEM,False,True,False,False,False
